index,Location_Center_X,Location_Center_Y,Metadata_Site,Metadata_Timepoint,Metadata_Well,track_id,unique_id,unique_time,Location_Center_Y_Zeroed,Location_Center_X_Zeroed,Classifier,flags
89,199.1294559,431.249531,244,36,B3,2,WB3_S0244_E2,WB3_S0244_E2_T36,-28.65230953,-25.90326393,C,None
90,193.6809701,427.0708955,244,37,B3,2,WB3_S0244_E2,WB3_S0244_E2_T37,-32.83094497,-31.35174969,C,None
91,192.6709324,424.606947,244,38,B3,2,WB3_S0244_E2,WB3_S0244_E2_T38,-35.29489351,-32.36178748,C,None
92,192.6218182,426.2563636,244,39,B3,2,WB3_S0244_E2,WB3_S0244_E2_T39,-33.64547685,-32.41090165,C,None
93,189.4169675,428.9277978,244,40,B3,2,WB3_S0244_E2,WB3_S0244_E2_T40,-30.97404266,-35.61575233,C,None
94,188.4399261,429.5582255,244,41,B3,2,WB3_S0244_E2,WB3_S0244_E2_T41,-30.34361498,-36.59279377,C,None
95,184.0824176,426.7527473,244,42,B3,2,WB3_S0244_E2,WB3_S0244_E2_T42,-33.14909324,-40.95030225,C,None
96,179.5955473,427.1187384,244,43,B3,2,WB3_S0244_E2,WB3_S0244_E2_T43,-32.78310209,-45.43717253,C,None
97,173.302583,425.6199262,244,44,B3,2,WB3_S0244_E2,WB3_S0244_E2_T44,-34.28191429,-51.73013681,C,None
98,166.9608611,422.5029354,244,45,B3,2,WB3_S0244_E2,WB3_S0244_E2_T45,-37.39890507,-58.07185878,C,None
99,157.6846307,420.6906188,244,46,B3,2,WB3_S0244_E2,WB3_S0244_E2_T46,-39.21122173,-67.3480891,C,None
100,151.5204678,415.0019493,244,47,B3,2,WB3_S0244_E2,WB3_S0244_E2_T47,-44.89989117,-73.512252,C,None
101,145.1375246,410.367387,244,48,B3,2,WB3_S0244_E2,WB3_S0244_E2_T48,-49.53445346,-79.89519528,C,None
102,136.1362764,408.1746641,244,49,B3,2,WB3_S0244_E2,WB3_S0244_E2_T49,-51.72717638,-88.89644344,C,None
103,127.4703633,407.623327,244,50,B3,2,WB3_S0244_E2,WB3_S0244_E2_T50,-52.27851353,-97.56235655,C,None
104,117.4071146,407,244,51,B3,2,WB3_S0244_E2,WB3_S0244_E2_T51,-52.90184049,-107.6256052,C,None
105,107.7614314,408.7375746,244,52,B3,2,WB3_S0244_E2,WB3_S0244_E2_T52,-51.16426594,-117.2712884,C,None
106,98.81782946,413.9573643,244,53,B3,2,WB3_S0244_E2,WB3_S0244_E2_T53,-45.94447615,-126.2148904,C,None
107,95.1453831,417.5009823,244,54,B3,2,WB3_S0244_E2,WB3_S0244_E2_T54,-42.40085817,-129.8873367,C,None
108,329.2708758,617.4765784,244,1,B3,3,WB3_S0244_E3,WB3_S0244_E3_T1,0,0,C,None
109,325.0041237,614.2804124,244,2,B3,3,WB3_S0244_E3,WB3_S0244_E3_T2,-3.19616604,-4.266752052,C,None
110,323.2201646,612.0020576,244,3,B3,3,WB3_S0244_E3,WB3_S0244_E3_T3,-5.474520798,-6.050711155,C,None
111,322.8353414,607.8875502,244,4,B3,3,WB3_S0244_E3,WB3_S0244_E3_T4,-9.589028211,-6.435534398,C,None
112,324.9197531,603.7037037,244,5,B3,3,WB3_S0244_E3,WB3_S0244_E3_T5,-13.77287471,-4.351122677,C,None
113,328.7439825,603.6958425,244,6,B3,3,WB3_S0244_E3,WB3_S0244_E3_T6,-13.78073596,-0.526893269,C,None
114,331.1656051,602.6921444,244,7,B3,3,WB3_S0244_E3,WB3_S0244_E3_T7,-14.78443404,1.894729332,C,None
